,age,job,marital,education,housing,loan
201,32,services,single,basic.6y,no,no
202,39,blue-collar,married,high.school,yes,no
203,43,admin.,married,unknown,no,no
204,44,blue-collar,married,basic.9y,yes,no
205,35,student,single,university.degree,no,no
206,35,student,single,university.degree,yes,yes
207,35,unemployed,married,professional.course,no,no
208,36,services,single,basic.4y,no,no
209,35,student,single,university.degree,yes,no
210,36,student,single,basic.9y,yes,no
211,55,housemaid,divorced,university.degree,no,no
212,59,admin.,married,university.degree,no,no
213,57,retired,married,unknown,no,no
214,39,blue-collar,married,professional.course,yes,no
215,39,housemaid,married,basic.4y,yes,no
216,30,blue-collar,single,unknown,yes,no
217,30,blue-collar,single,unknown,yes,yes
218,50,housemaid,married,basic.4y,no,no
219,40,services,married,high.school,no,no
220,35,admin.,married,high.school,yes,no
221,43,technician,married,unknown,no,no
222,36,services,single,basic.6y,yes,no
223,46,technician,married,basic.4y,yes,no
224,40,technician,married,basic.9y,no,no
225,58,retired,married,university.degree,no,no
226,42,technician,married,university.degree,no,no
227,35,admin.,single,university.degree,no,no
228,43,retired,married,basic.4y,no,no
229,45,blue-collar,married,basic.4y,yes,yes
230,39,admin.,married,professional.course,yes,no
231,50,services,divorced,professional.course,yes,no
232,32,management,divorced,basic.4y,yes,no
233,39,admin.,married,high.school,no,no
234,52,self-employed,married,university.degree,no,no
235,44,admin.,married,professional.course,yes,no
236,56,blue-collar,married,basic.4y,no,no
237,48,admin.,married,high.school,no,no
238,33,services,married,high.school,no,yes
239,43,management,married,university.degree,no,yes
240,57,retired,married,high.school,no,no
241,36,technician,single,professional.course,no,no
242,34,management,married,university.degree,yes,no
243,34,services,single,basic.9y,no,no
244,30,technician,married,university.degree,no,no
245,33,services,divorced,unknown,no,no
246,32,technician,single,professional.course,no,no
247,36,technician,single,high.school,yes,no
248,36,blue-collar,single,high.school,no,yes
249,33,services,single,high.school,no,no
250,40,technician,divorced,professional.course,no,no
251,41,blue-collar,married,basic.4y,yes,no
252,51,services,married,basic.6y,yes,no
253,36,technician,married,professional.course,yes,no
254,28,services,married,unknown,no,no
255,53,services,married,high.school,yes,yes
256,58,blue-collar,married,basic.9y,yes,no
257,45,management,married,basic.9y,no,yes
258,43,technician,married,unknown,yes,no
259,33,admin.,married,high.school,no,yes
260,33,admin.,married,high.school,no,yes
261,27,blue-collar,single,basic.6y,unknown,unknown
262,42,technician,married,high.school,no,no
263,43,admin.,divorced,basic.9y,no,no
264,42,admin.,married,university.degree,no,no
